visit_order,site_id,geocoded_label,latitude,longitude,nb_orthos,segment_s,segment_min,cumul_s,cumul_min,cumul_h
1,15,6 Rue Tournefort 75005 Paris,48.844108,2.348,1,0,0.0,0,0.0,0.0
2,16,7b Rue Laromiguière 75005 Paris,48.84389,2.347198,1,85,1.4,85,1.4,0.02
3,18,16 Rue de l'Arbalète 75005 Paris,48.840266,2.348266,1,136,2.3,221,3.7,0.06
4,22,4 Rue Edouard Quénu 75005 Paris,48.839259,2.349481,1,51,0.9,272,4.5,0.08
5,14,39 Rue de l'Arbalète 75005 Paris,48.839497,2.346702,1,33,0.5,305,5.1,0.08
6,6,254 Rue Saint-Jacques 75005 Paris,48.843034,2.341289,8,104,1.7,409,6.8,0.11
7,5,32 Rue Gay-Lussac 75005 Paris,48.844512,2.341787,1,31,0.5,440,7.3,0.12
8,19,3 Rue Le Goff 75005 Paris,48.846507,2.341596,1,38,0.6,478,8.0,0.13
9,13,17 Rue de la Sorbonne 75005 Paris,48.848904,2.343138,1,74,1.2,552,9.2,0.15
10,23,6 Rue des Anglais 75005 Paris,48.850847,2.347742,1,92,1.5,643,10.7,0.18
11,8,12 Rue Saint-Victor 75005 Paris,48.84819,2.351271,1,86,1.4,729,12.2,0.2
12,26,22 Rue des Boulangers 75005 Paris,48.845903,2.353181,1,63,1.0,792,13.2,0.22
13,17,5 Place Jussieu 75005 Paris,48.845732,2.354955,1,117,1.9,909,15.2,0.25
14,20,81 Rue Monge 75005 Paris,48.842393,2.352247,1,111,1.9,1020,17.0,0.28
15,21,20 Rue Larrey 75005 Paris,48.843023,2.353133,1,24,0.4,1044,17.4,0.29
16,10,20 Rue Larrey 75005 Paris,48.843023,2.353133,5,0,0.0,1044,17.4,0.29
17,7,15 Rue Daubenton 75005 Paris,48.841267,2.3541,1,38,0.6,1083,18.0,0.3
18,24,7 Rue de l'Essai 75005 Paris,48.839746,2.358166,1,98,1.6,1180,19.7,0.33
19,1,7 Rue de l'Essai 75005 Paris,48.839746,2.358166,2,0,0.0,1180,19.7,0.33
20,12,38 Rue Poliveau 75005 Paris,48.840023,2.357804,2,80,1.3,1260,21.0,0.35
21,11,18 Rue Poliveau 75005 Paris,48.840393,2.359839,1,32,0.5,1292,21.5,0.36
22,25,13 Rue Poliveau 75005 Paris,48.840252,2.360244,1,12,0.2,1304,21.7,0.36
23,2,34 Boulevard de l'Hôpital 75005 Paris,48.840709,2.36202,1,36,0.6,1340,22.3,0.37
24,4,67 Rue Buffon 75005 Paris,48.841375,2.357008,3,206,3.4,1546,25.8,0.43
25,3,6 Rue des Fossés Saint-Marcel 75005 Paris,48.839135,2.356049,1,55,0.9,1601,26.7,0.44
26,9,8 Rue Scipion 75005 Paris,48.838399,2.353778,1,58,1.0,1659,27.7,0.46
